"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8","gene","Uniprot","eval","Prot.ID","Rev","Prot.Name.Long","Prot.Name.Short","Taxa","Num","GO1","GO2","GO3","GO4","GO.IDs","KEGG","KEGG.Path"
"51",167,272,580,503,286,243,271,381,795,756,546,374,746,727,1072,423,798,710,"g53963","Q8N5H7",1.2e-10,"SH2D3_HUMAN","reviewed","SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (Chat-H) (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)","SH2D3C NSP3 UNQ272/PRO309/PRO34088","Homo sapiens (Human)",860,"JNK cascade [GO:0007254]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; small GTPase mediated signal transduction [GO:0007264]","cytoplasm [GO:0005737]; membrane [GO:0016020]","cytoplasm [GO:0005737]; membrane [GO:0016020]; guanyl-nucleotide exchange factor activity [GO:0005085]; SH3/SH2 adaptor activity [GO:0005070]; JNK cascade [GO:0007254]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; small GTPase mediated signal transduction [GO:0007264]","guanyl-nucleotide exchange factor activity [GO:0005085]; SH3/SH2 adaptor activity [GO:0005070]","GO:0005070; GO:0005085; GO:0005737; GO:0007254; GO:0007264; GO:0016020; GO:0033138","K23690;","hsa:10044;"
"52",173,115,122,181,311,77,174,191,113,211,316,110,269,125,130,130,446,105,"g57309","Q66PG1",0,"LARG2_DANRE","reviewed","LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]","large2 gyltl1b si:ch211-206g24.1 si:ch211-282n12.1","Danio rerio (Zebrafish) (Brachydanio rerio)",750,"protein glycosylation [GO:0006486]; protein O-linked mannosylation [GO:0035269]","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; metal ion binding [GO:0046872]; transferase activity, transferring glycosyl groups [GO:0016757]; xylosyltransferase activity [GO:0042285]; protein glycosylation [GO:0006486]; protein O-linked mannosylation [GO:0035269]","glucuronosyltransferase activity [GO:0015020]; metal ion binding [GO:0046872]; transferase activity, transferring glycosyl groups [GO:0016757]; xylosyltransferase activity [GO:0042285]","GO:0000139; GO:0005794; GO:0006486; GO:0015020; GO:0016021; GO:0016757; GO:0035269; GO:0042285; GO:0046872","K09668;","dre:446214;"
"53",512,589,1066,1070,610,1321,189,684,587,480,576,937,154,225,254,99,152,259,"g57313","Q6YGZ4",8.42e-66,"CLOCK_TYTAL","reviewed","Circadian locomoter output cycles protein kaput","CLOCK","Tyto alba (Barn owl)",851,"cellular response to DNA damage stimulus [GO:0006974]; protein acetylation [GO:0006473]; response to redox state [GO:0051775]; rhythmic process [GO:0048511]","cytosol [GO:0005829]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]","cytosol [GO:0005829]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; cellular response to DNA damage stimulus [GO:0006974]; protein acetylation [GO:0006473]; response to redox state [GO:0051775]; rhythmic process [GO:0048511]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]","GO:0003677; GO:0003700; GO:0005634; GO:0005667; GO:0005829; GO:0006473; GO:0006974; GO:0046983; GO:0048511; GO:0051775","",""
"54",186,141,298,298,215,242,46,163,123,113,115,121,22,23,32,21,14,39,"g57314","Q99743",2.3e-53,"NPAS2_HUMAN","reviewed","Neuronal PAS domain-containing protein 2 (Neuronal PAS2) (Basic-helix-loop-helix-PAS protein MOP4) (Class E basic helix-loop-helix protein 9) (bHLHe9) (Member of PAS protein 4) (PAS domain-containing protein 4)","NPAS2 BHLHE9 MOP4 PASD4","Homo sapiens (Human)",824,"cellular response to DNA damage stimulus [GO:0006974]; central nervous system development [GO:0007417]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; negative regulation of cell death [GO:0060548]; positive regulation of behavioral fear response [GO:2000987]; positive regulation of DNA repair [GO:0045739]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of lipid metabolic process [GO:0019216]; regulation of response to DNA damage stimulus [GO:2001020]; response to drug [GO:0042493]; response to redox state [GO:0051775]","cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]","cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; Hsp90 protein binding [GO:0051879]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; cellular response to DNA damage stimulus [GO:0006974]; central nervous system development [GO:0007417]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; negative regulation of cell death [GO:0060548]; positive regulation of behavioral fear response [GO:2000987]; positive regulation of DNA repair [GO:0045739]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of lipid metabolic process [GO:0019216]; regulation of response to DNA damage stimulus [GO:2001020]; response to drug [GO:0042493]; response to redox state [GO:0051775]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; Hsp90 protein binding [GO:0051879]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","GO:0000790; GO:0000978; GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0005829; GO:0006974; GO:0007417; GO:0007623; GO:0019216; GO:0032922; GO:0042493; GO:0045739; GO:0045893; GO:0045944; GO:0046872; GO:0046983; GO:0051775; GO:0051879; GO:0060548; GO:2000987; GO:2001020","K09026;","hsa:4862;"
"55",25,52,90,35,25,15,54,167,143,31,151,126,288,163,130,21,106,103,"g58055","Q9UBH6",3.96e-105,"XPR1_HUMAN","reviewed","Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)","XPR1 SYG1 XR","Homo sapiens (Human)",696,"cellular phosphate ion homeostasis [GO:0030643]; cellular response to phosphate starvation [GO:0016036]; G protein-coupled receptor signaling pathway [GO:0007186]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; response to virus [GO:0009615]","cell [GO:0005623]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]","cell [GO:0005623]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; G protein-coupled receptor activity [GO:0004930]; inositol hexakisphosphate binding [GO:0000822]; phosphate ion transmembrane transporter activity [GO:0015114]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]; cellular phosphate ion homeostasis [GO:0030643]; cellular response to phosphate starvation [GO:0016036]; G protein-coupled receptor signaling pathway [GO:0007186]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; response to virus [GO:0009615]","efflux transmembrane transporter activity [GO:0015562]; G protein-coupled receptor activity [GO:0004930]; inositol hexakisphosphate binding [GO:0000822]; phosphate ion transmembrane transporter activity [GO:0015114]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]","GO:0000822; GO:0001618; GO:0004888; GO:0004930; GO:0005623; GO:0005737; GO:0005794; GO:0005886; GO:0006817; GO:0007186; GO:0009615; GO:0015114; GO:0015562; GO:0016021; GO:0016036; GO:0030643; GO:0031226; GO:0035435; GO:0038023","","hsa:9213;"
"56",808,1114,1870,1062,605,764,582,1996,2073,925,1151,1143,831,1337,2038,473,975,1455,"g58395","C3YWU0",0,"FUCO_BRAFL","reviewed","Alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase)","BRAFLDRAFT_56888","Branchiostoma floridae (Florida lancelet) (Amphioxus)",449,"fucose metabolic process [GO:0006004]; glycoside catabolic process [GO:0016139]","extracellular region [GO:0005576]; lysosome [GO:0005764]","extracellular region [GO:0005576]; lysosome [GO:0005764]; alpha-L-fucosidase activity [GO:0004560]; fucose metabolic process [GO:0006004]; glycoside catabolic process [GO:0016139]","alpha-L-fucosidase activity [GO:0004560]","GO:0004560; GO:0005576; GO:0005764; GO:0006004; GO:0016139","K01206;","bfo:BRAFLDRAFT_56888;"
"57",88,85,180,105,38,87,64,118,145,81,145,107,76,40,71,76,107,38,"g60401","P62315",6.24e-56,"SMD1_MOUSE","reviewed","Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)","Snrpd1","Mus musculus (Mouse)",119,"mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]","catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; SMN-Sm protein complex [GO:0034719]; spliceosomal tri-snRNP complex [GO:0097526]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]","catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; SMN-Sm protein complex [GO:0034719]; spliceosomal tri-snRNP complex [GO:0097526]; U1 snRNP [GO:0005685]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; U1 snRNP binding [GO:1990446]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]","RNA binding [GO:0003723]; U1 snRNP binding [GO:1990446]","GO:0000243; GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005737; GO:0005829; GO:0034709; GO:0034715; GO:0034719; GO:0046540; GO:0071005; GO:0071007; GO:0071011; GO:0071013; GO:0097526; GO:1990446","K11087;","mmu:20641;"
"58",117,165,216,168,147,80,131,273,260,228,228,168,222,235,301,179,306,257,"g63260","O43581",1.74e-24,"SYT7_HUMAN","reviewed","Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII)","SYT7 PCANAP7","Homo sapiens (Human)",403,"calcium-dependent activation of synaptic vesicle fusion [GO:0099502]; calcium-ion regulated exocytosis [GO:0017156]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; calcium ion regulated lysosome exocytosis [GO:1990927]; cellular response to calcium ion [GO:0071277]; phagocytosis [GO:0006909]; phagosome-lysosome fusion [GO:0090385]; plasma membrane repair [GO:0001778]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; regulation of bone remodeling [GO:0046850]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; regulation of glucagon secretion [GO:0070092]; regulation of insulin secretion [GO:0050796]; regulation of phagocytosis [GO:0050764]; regulation of synaptic vesicle endocytosis [GO:1900242]; short-term synaptic potentiation [GO:1990926]; synaptic vesicle recycling [GO:0036465]; vesicle-mediated cholesterol transport [GO:0090119]; vesicle-mediated transport [GO:0016192]","axon terminus [GO:0043679]; cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; dense core granule [GO:0031045]; early phagosome [GO:0032009]; exocytic vesicle [GO:0070382]; extracellular exosome [GO:0070062]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of presynaptic membrane [GO:0099056]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; neuronal cell body [GO:0043025]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]","axon terminus [GO:0043679]; cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; dense core granule [GO:0031045]; early phagosome [GO:0032009]; exocytic vesicle [GO:0070382]; extracellular exosome [GO:0070062]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of presynaptic membrane [GO:0099056]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; neuronal cell body [GO:0043025]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calmodulin binding [GO:0005516]; clathrin binding [GO:0030276]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; calcium ion regulated lysosome exocytosis [GO:1990927]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; calcium-dependent activation of synaptic vesicle fusion [GO:0099502]; calcium-ion regulated exocytosis [GO:0017156]; cellular response to calcium ion [GO:0071277]; phagocytosis [GO:0006909]; phagosome-lysosome fusion [GO:0090385]; plasma membrane repair [GO:0001778]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; regulation of bone remodeling [GO:0046850]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; regulation of glucagon secretion [GO:0070092]; regulation of insulin secretion [GO:0050796]; regulation of phagocytosis [GO:0050764]; regulation of synaptic vesicle endocytosis [GO:1900242]; short-term synaptic potentiation [GO:1990926]; synaptic vesicle recycling [GO:0036465]; vesicle-mediated cholesterol transport [GO:0090119]; vesicle-mediated transport [GO:0016192]","calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; clathrin binding [GO:0030276]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]","GO:0000149; GO:0001778; GO:0001786; GO:0005509; GO:0005516; GO:0005544; GO:0005546; GO:0005764; GO:0005765; GO:0005777; GO:0005778; GO:0005829; GO:0005886; GO:0006909; GO:0008021; GO:0014059; GO:0016192; GO:0017156; GO:0017158; GO:0019905; GO:0030054; GO:0030276; GO:0030425; GO:0030670; GO:0030672; GO:0031045; GO:0032009; GO:0036465; GO:0043025; GO:0043679; GO:0045956; GO:0046850; GO:0048791; GO:0050764; GO:0050796; GO:0070062; GO:0070092; GO:0070382; GO:0071277; GO:0090119; GO:0090385; GO:0098686; GO:0098978; GO:0098982; GO:0099056; GO:0099502; GO:1900242; GO:1990926; GO:1990927","K19907;","hsa:9066;"
"59",5,6,24,0,0,9,44,44,34,75,72,29,221,29,52,25,27,91,"g64233","Q6NUT3",1.2e-21,"MFS12_HUMAN","reviewed","Major facilitator superfamily domain-containing protein 12","MFSD12 C19orf28","Homo sapiens (Human)",480,"carbohydrate transport [GO:0008643]; negative regulation of melanin biosynthetic process [GO:0048022]; organic substance transport [GO:0071702]","integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]","integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; symporter activity [GO:0015293]; carbohydrate transport [GO:0008643]; negative regulation of melanin biosynthetic process [GO:0048022]; organic substance transport [GO:0071702]","symporter activity [GO:0015293]","GO:0005765; GO:0005770; GO:0005887; GO:0008643; GO:0015293; GO:0048022; GO:0071702","","hsa:126321;"
"60",5,19,18,11,0,0,54,21,46,41,106,47,197,95,94,14,22,71,"g64424","Q7ZWG6",8.02e-58,"PCFT_DANRE","reviewed","Proton-coupled folate transporter (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1)","slc46a1 hcp1 pcft zgc:56400","Danio rerio (Zebrafish) (Brachydanio rerio)",481,"transmembrane transport [GO:0055085]","integral component of membrane [GO:0016021]","integral component of membrane [GO:0016021]; folic acid binding [GO:0005542]; transmembrane transport [GO:0055085]","folic acid binding [GO:0005542]","GO:0005542; GO:0016021; GO:0055085","K14613;","dre:393255;"
"61",361,673,900,947,379,304,736,1328,1281,842,1102,812,1776,1154,1485,514,1124,1131,"g64474","P48999",1.1e-107,"LOX5_MOUSE","reviewed","Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34)","Alox5","Mus musculus (Mouse)",674,"acute inflammatory response [GO:0002526]; dendritic cell migration [GO:0036336]; glucose homeostasis [GO:0042593]; humoral immune response [GO:0006959]; inflammatory response [GO:0006954]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; leukocyte migration involved in inflammatory response [GO:0002523]; leukotriene A4 biosynthetic process [GO:1901753]; leukotriene biosynthetic process [GO:0019370]; leukotriene metabolic process [GO:0006691]; leukotriene production involved in inflammatory response [GO:0002540]; lipoxin biosynthetic process [GO:2001301]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of inflammatory response [GO:0050728]; negative regulation of response to endoplasmic reticulum stress [GO:1903573]; negative regulation of sprouting angiogenesis [GO:1903671]; negative regulation of vascular wound healing [GO:0061044]; negative regulation of wound healing [GO:0061045]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cytochrome-c oxidase activity [GO:1904960]; positive regulation of leukocyte adhesion to arterial endothelial cell [GO:1904999]; positive regulation of vasoconstriction [GO:0045907]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of fat cell differentiation [GO:0045598]; regulation of inflammatory response [GO:0050727]; regulation of inflammatory response to wounding [GO:0106014]; regulation of insulin secretion [GO:0050796]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; sensory perception of pain [GO:0019233]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; nuclear envelope [GO:0005635]; nuclear envelope lumen [GO:0005641]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; sarcolemma [GO:0042383]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; nuclear envelope [GO:0005635]; nuclear envelope lumen [GO:0005641]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; sarcolemma [GO:0042383]; arachidonate 5-lipoxygenase activity [GO:0004051]; iron ion binding [GO:0005506]; acute inflammatory response [GO:0002526]; dendritic cell migration [GO:0036336]; glucose homeostasis [GO:0042593]; humoral immune response [GO:0006959]; inflammatory response [GO:0006954]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; leukocyte migration involved in inflammatory response [GO:0002523]; leukotriene A4 biosynthetic process [GO:1901753]; leukotriene biosynthetic process [GO:0019370]; leukotriene metabolic process [GO:0006691]; leukotriene production involved in inflammatory response [GO:0002540]; lipoxin biosynthetic process [GO:2001301]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of inflammatory response [GO:0050728]; negative regulation of response to endoplasmic reticulum stress [GO:1903573]; negative regulation of sprouting angiogenesis [GO:1903671]; negative regulation of vascular wound healing [GO:0061044]; negative regulation of wound healing [GO:0061045]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cytochrome-c oxidase activity [GO:1904960]; positive regulation of leukocyte adhesion to arterial endothelial cell [GO:1904999]; positive regulation of vasoconstriction [GO:0045907]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of fat cell differentiation [GO:0045598]; regulation of inflammatory response [GO:0050727]; regulation of inflammatory response to wounding [GO:0106014]; regulation of insulin secretion [GO:0050796]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; sensory perception of pain [GO:0019233]","arachidonate 5-lipoxygenase activity [GO:0004051]; iron ion binding [GO:0005506]","GO:0001937; GO:0002232; GO:0002523; GO:0002526; GO:0002540; GO:0004051; GO:0005506; GO:0005634; GO:0005635; GO:0005641; GO:0005654; GO:0005737; GO:0005829; GO:0006691; GO:0006954; GO:0006959; GO:0016363; GO:0016525; GO:0019233; GO:0019370; GO:0030425; GO:0030501; GO:0031965; GO:0036336; GO:0042383; GO:0042593; GO:0045598; GO:0045907; GO:0048471; GO:0050727; GO:0050728; GO:0050796; GO:0061044; GO:0061045; GO:0106014; GO:1900015; GO:1900407; GO:1901753; GO:1903426; GO:1903573; GO:1903671; GO:1904960; GO:1904999; GO:2001301","K00461;","mmu:11689;"
"62",33205,35212,48336,34463,26593,29184,21994,38004,35858,25586,33120,36258,17179,17149,26531,10883,24400,17839,"g64793","P69005",0,"ACTD_STRPU","reviewed","Actin, cytoskeletal 2B (Actin, cytoskeletal IIB)","CYIIB SPEC3","Strongylocentrotus purpuratus (Purple sea urchin)",376,"","actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]","actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]","ATP binding [GO:0005524]","GO:0005524; GO:0005737; GO:0015629","K05692;","spu:115917875;spu:373190;spu:373192;"
"63",16,41,49,34,43,12,4,37,75,28,20,19,0,31,45,0,0,6,"g67292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",253,317,548,500,343,368,81,292,203,221,182,228,6,0,8,0,13,15,"g67932","Q7KM13",5.63e-15,"HEY_DROME","reviewed","Hairy/enhancer-of-split related with YRPW motif protein","Hey Hesr-1 CG11194","Drosophila melanogaster (Fruit fly)",425,"anterior/posterior pattern specification [GO:0009952]; cell differentiation [GO:0030154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron fate determination [GO:0048664]; Notch signaling pathway [GO:0007219]; regulation of neurogenesis [GO:0050767]","nucleus [GO:0005634]","nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; anterior/posterior pattern specification [GO:0009952]; cell differentiation [GO:0030154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron fate determination [GO:0048664]; Notch signaling pathway [GO:0007219]; regulation of neurogenesis [GO:0050767]","DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]","GO:0000122; GO:0000977; GO:0001227; GO:0003677; GO:0005634; GO:0007219; GO:0009952; GO:0030154; GO:0046983; GO:0048664; GO:0050767","K09091;","dme:Dmel_CG11194;"
"65",30,63,103,63,43,53,12,82,92,36,42,54,26,57,121,24,26,85,"g70488","A0FI79",1.78e-121,"INP5E_PANTR","reviewed","Phosphatidylinositol polyphosphate 5-phosphatase type IV (72 kDa inositol polyphosphate 5-phosphatase) (Inositol polyphosphate-5-phosphatase E) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86)","INPP5E","Pan troglodytes (Chimpanzee)",644,"phosphatidylinositol dephosphorylation [GO:0046856]","axoneme [GO:0005930]; Golgi cisterna membrane [GO:0032580]; plasma membrane [GO:0005886]; ruffle [GO:0001726]","axoneme [GO:0005930]; Golgi cisterna membrane [GO:0032580]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]; phosphatidylinositol dephosphorylation [GO:0046856]","inositol-polyphosphate 5-phosphatase activity [GO:0004445]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]","GO:0001726; GO:0004439; GO:0004445; GO:0005886; GO:0005930; GO:0032580; GO:0046856","K20278;","ptr:748603;"
